hotel_id,brand,tier,address,city,country,price_range_low,price_range_high,amenities
H001,Raffles,Luxury,"3 Rue de Castiglione, 1st Arrondissement",Paris,France,383,564,"Rooftop Bar, Lounge Access, Spa, Room Service, Fitness Center, Concierge"
H002,Sofitel,Luxury,"1 Rue Scribe, 9th Arrondissement",Paris,France,337,388,"Room Service, Concierge, Spa, Business Center, Valet Parking"
H003,Pullman,Premium,"1 Rue de Libourne, 12th Arrondissement",Paris,France,231,320,"Room Service, Fitness Center, Concierge, Bar, Business Center, Meeting Rooms, Pool"
H004,Mövenpick,Premium,"12 Boulevard de la Madeleine, 9th Arrondissement",Paris,France,146,196,"Fitness Center, Room Service, Bar, Business Center, Pool"
H005,Novotel,Midscale,"8 Place Marguerite de Navarre, 1st Arrondissement",Paris,France,68,187,"Bar, Meeting Rooms, Parking"
H006,Mercure,Midscale,"38 Rue des Lombards, 4th Arrondissement",Paris,France,103,140,"Fitness Center, Parking, Meeting Rooms"
H007,Novotel,Midscale,"34 Avenue du Maine, 15th Arrondissement",Paris,France,63,94,"Bar, Parking, Restaurant, Free WiFi, Fitness Center"
H008,ibis,Economy,"15 Rue Leon Jost, 17th Arrondissement",Paris,France,33,116,"Free WiFi, Breakfast Included, Laundry, Parking"
H009,ibis Styles,Economy,"58 Rue de la Folie Mericourt, 11th Arrondissement",Paris,France,73,136,"Free WiFi, Laundry, Parking"
H010,ibis,Economy,"9 Rue de Bercy, 12th Arrondissement",Paris,France,44,145,"Breakfast Included, Free WiFi, Laundry, Parking"
H011,Fairmont,Luxury,"100 Strand, Westminster",London,United Kingdom,403,669,"Concierge, Spa, Fitness Center, Rooftop Bar, Business Center, Fine Dining"
H012,Sofitel,Luxury,"8 Pall Mall, St James",London,United Kingdom,360,552,"Fine Dining, Fitness Center, Concierge"
H013,Pullman,Premium,"22 Park Lane, Mayfair",London,United Kingdom,167,331,"Restaurant, Concierge, Room Service, Meeting Rooms, Fitness Center"
H014,Swissôtel,Premium,"1 Finsbury Avenue, Liverpool Street",London,United Kingdom,201,267,"Room Service, Bar, Business Center"
H015,Novotel,Midscale,"113 Lambeth Road, Southwark",London,United Kingdom,106,213,"Restaurant, Parking, Fitness Center, Bar, Meeting Rooms"
H016,Mercure,Midscale,"130 Cromwell Road, Kensington",London,United Kingdom,73,205,"Free WiFi, Parking, Meeting Rooms, Restaurant, Bar"
H017,Novotel,Midscale,"1 Shortlands, Hammersmith",London,United Kingdom,122,203,"Free WiFi, Meeting Rooms, Parking, Bar, Restaurant"
H018,ibis,Economy,"47 Lillie Road, Fulham",London,United Kingdom,52,96,"Breakfast Included, Free WiFi, Parking"
H019,ibis Styles,Economy,"110 Whitechapel Road, Whitechapel",London,United Kingdom,36,124,"Breakfast Included, Parking, Laundry"
H020,ibis,Economy,"199 High Holborn, Holborn",London,United Kingdom,74,109,"Free WiFi, Breakfast Included, Laundry"
H021,Sofitel,Luxury,"45 West 44th Street, Midtown Manhattan",New York,United States,400,545,"Fine Dining, Concierge, Valet Parking, Pool, Room Service, Fitness Center"
H022,Fairmont,Luxury,"768 Fifth Avenue, Midtown Manhattan",New York,United States,330,593,"Rooftop Bar, Valet Parking, Pool, Fine Dining, Spa, Lounge Access, Fitness Center"
H023,Pullman,Premium,"330 West 40th Street, Midtown Manhattan",New York,United States,197,278,"Room Service, Fitness Center, Bar, Restaurant, Pool, Business Center"
H024,Swissôtel,Premium,"227 East 45th Street, Midtown Manhattan",New York,United States,195,305,"Concierge, Bar, Restaurant, Pool, Business Center, Fitness Center"
H025,Novotel,Midscale,"226 West 52nd Street, Midtown Manhattan",New York,United States,60,215,"Meeting Rooms, Parking, Free WiFi, Bar, Restaurant"
H026,Mercure,Midscale,"234 West 48th Street, Midtown Manhattan",New York,United States,127,211,"Fitness Center, Meeting Rooms, Parking, Restaurant"
H027,Novotel,Midscale,"30 Montgomery Street, Jersey City",New York,United States,128,227,"Bar, Free WiFi, Restaurant, Parking, Fitness Center"
H028,ibis,Economy,"79 Madison Avenue, NoMad",New York,United States,45,147,"Free WiFi, Parking, Laundry, Breakfast Included"
H029,ibis Styles,Economy,"338 West 36th Street, Garment District",New York,United States,58,90,"Free WiFi, Laundry, Parking, Breakfast Included"
H030,ibis,Economy,"118 West 57th Street, Midtown Manhattan",New York,United States,48,144,"Free WiFi, Parking, Breakfast Included, Laundry"
H031,Raffles,Luxury,"2 Sheikh Rashid Road, Wafi",Dubai,United Arab Emirates,464,671,"Pool, Concierge, Fitness Center, Valet Parking, Fine Dining"
H032,Fairmont,Luxury,"97 Sheikh Zayed Road, Trade Centre",Dubai,United Arab Emirates,408,485,"Lounge Access, Room Service, Fitness Center, Pool"
H033,Pullman,Premium,"3 Al Barsha Road, Al Barsha 1",Dubai,United Arab Emirates,187,347,"Fitness Center, Restaurant, Room Service, Meeting Rooms, Pool, Business Center"
H034,Mövenpick,Premium,"19 Oud Metha Road, Bur Dubai",Dubai,United Arab Emirates,175,370,"Bar, Fitness Center, Meeting Rooms, Business Center, Restaurant, Pool"
H035,Novotel,Midscale,"56 Al Barsha Road, Al Barsha 1",Dubai,United Arab Emirates,84,206,"Bar, Fitness Center, Restaurant, Parking, Meeting Rooms, Free WiFi"
H036,Mercure,Midscale,"14 Sufouh Road, Dubai Media City",Dubai,United Arab Emirates,120,190,"Meeting Rooms, Fitness Center, Free WiFi, Bar"
H037,Novotel,Midscale,"27 Port Saeed Road, Deira",Dubai,United Arab Emirates,107,156,"Meeting Rooms, Bar, Restaurant, Parking, Free WiFi, Fitness Center"
H038,ibis,Economy,"8 Al Rigga Road, Deira",Dubai,United Arab Emirates,46,108,"Parking, Free WiFi, Breakfast Included, Laundry"
H039,ibis Styles,Economy,"8 Al Khail Road, Jumeirah Village Circle",Dubai,United Arab Emirates,51,102,"Parking, Free WiFi, Breakfast Included, Laundry"
H040,ibis,Economy,"18 Baghdad Street, Al Ras",Dubai,United Arab Emirates,74,111,"Free WiFi, Breakfast Included, Laundry, Parking"
H041,Raffles,Luxury,"1 Beach Road, Downtown Core",Singapore,Singapore,426,459,"Concierge, Lounge Access, Valet Parking, Room Service, Business Center"
H042,Sofitel,Luxury,"35 Robinson Road, Tanjong Pagar",Singapore,Singapore,378,640,"Concierge, Business Center, Room Service, Fine Dining, Pool"
H043,Swissôtel,Premium,"2 Stamford Road, Downtown Core",Singapore,Singapore,236,328,"Room Service, Fitness Center, Restaurant, Business Center, Meeting Rooms, Pool, Bar"
H044,Pullman,Premium,"270 Orchard Road, Orchard",Singapore,Singapore,234,317,"Concierge, Room Service, Fitness Center, Restaurant, Business Center, Pool, Meeting Rooms"
H045,Novotel,Midscale,"177 River Valley Road, Clarke Quay",Singapore,Singapore,82,177,"Fitness Center, Bar, Parking, Free WiFi"
H046,Mercure,Midscale,"37 Hongkong Street, Clarke Quay",Singapore,Singapore,92,130,"Parking, Fitness Center, Free WiFi, Bar, Restaurant"
H047,Novotel,Midscale,"6 Temasek Boulevard, Marina Bay",Singapore,Singapore,109,163,"Fitness Center, Free WiFi, Meeting Rooms, Restaurant, Bar"
H048,ibis,Economy,"170 Bencoolen Street, Bugis",Singapore,Singapore,65,139,"Breakfast Included, Laundry, Parking, Free WiFi"
H049,ibis Styles,Economy,"62 Albert Street, Bugis",Singapore,Singapore,43,148,"Laundry, Breakfast Included, Parking, Free WiFi"
H050,ibis,Economy,"2 Jalan Pinang, Lavender",Singapore,Singapore,63,94,"Free WiFi, Parking, Laundry"
H051,Fairmont,Luxury,"138 St James Avenue, Back Bay",Boston,United States,294,377,"Pool, Concierge, Business Center, Rooftop Bar, Spa"
H052,Sofitel,Luxury,"120 Huntington Avenue, Back Bay",Boston,United States,285,679,"Fine Dining, Concierge, Room Service, Business Center, Fitness Center"
H053,Pullman,Premium,"26 North Street, Faneuil Hall",Boston,United States,169,345,"Concierge, Fitness Center, Pool, Bar, Restaurant, Business Center"
H054,Mövenpick,Premium,"400 Soldiers Field Road, Allston",Boston,United States,240,359,"Pool, Bar, Room Service"
H055,Novotel,Midscale,"823 Boylston Street, Back Bay",Boston,United States,117,147,"Restaurant, Meeting Rooms, Bar"
H056,Mercure,Midscale,"5 Blossom Street, Beacon Hill",Boston,United States,60,105,"Parking, Meeting Rooms, Bar, Free WiFi, Fitness Center"
H057,Novotel,Midscale,"505 Congress Street, Seaport",Boston,United States,85,130,"Fitness Center, Restaurant, Free WiFi"
H058,ibis,Economy,"220 Stuart Street, Theater District",Boston,United States,58,101,"Breakfast Included, Laundry, Parking"
H059,ibis Styles,Economy,"39 Dalton Street, Back Bay",Boston,United States,59,134,"Parking, Laundry, Breakfast Included, Free WiFi"
H060,ibis,Economy,"275 Tremont Street, Chinatown",Boston,United States,45,122,"Breakfast Included, Parking, Free WiFi, Laundry"
H061,Sofitel,Luxury,"188 Silom Road, Bangrak",Bangkok,Thailand,348,477,"Valet Parking, Room Service, Fine Dining, Concierge, Pool, Lounge Access, Fitness Center"
H062,Fairmont,Luxury,"88 Wireless Road, Lumpini",Bangkok,Thailand,407,596,"Business Center, Valet Parking, Room Service, Lounge Access"
H063,Pullman,Premium,"21 Sukhumvit Soi 21, Watthana",Bangkok,Thailand,200,330,"Room Service, Bar, Pool, Meeting Rooms, Business Center"
H064,Mövenpick,Premium,"39 Sukhumvit Soi 15, Watthana",Bangkok,Thailand,151,275,"Bar, Restaurant, Room Service, Concierge, Fitness Center, Meeting Rooms"
H065,Novotel,Midscale,"123 Ratchadaphisek Road, Chatuchak",Bangkok,Thailand,67,189,"Free WiFi, Fitness Center, Parking, Meeting Rooms"
H066,Mercure,Midscale,"580 Sukhumvit Road Soi 33, Watthana",Bangkok,Thailand,66,153,"Meeting Rooms, Fitness Center, Free WiFi, Bar"
H067,Novotel,Midscale,"2 Phloen Chit Road, Pathum Wan",Bangkok,Thailand,95,213,"Free WiFi, Parking, Fitness Center"
H068,ibis,Economy,"1860 New Petchaburi Road, Huai Khwang",Bangkok,Thailand,39,141,"Breakfast Included, Parking, Laundry"
H069,ibis Styles,Economy,"18 Sukhumvit Soi 4, Khlong Toei",Bangkok,Thailand,64,141,"Parking, Free WiFi, Breakfast Included, Laundry"
H070,ibis,Economy,"9 Krungthon Buri Road, Khlong San",Bangkok,Thailand,61,114,"Laundry, Breakfast Included, Free WiFi, Parking"
H071,Sofitel,Luxury,"75 Passeig de Gracia, Eixample",Barcelona,Spain,392,483,"Valet Parking, Rooftop Bar, Fine Dining, Fitness Center, Concierge, Lounge Access, Room Service"
H072,Fairmont,Luxury,"1 Placa de la Rosa dels Vents, Port Olimpic",Barcelona,Spain,426,531,"Fine Dining, Lounge Access, Valet Parking, Rooftop Bar, Spa, Business Center"
H073,Pullman,Premium,"570 Gran Via de les Corts Catalanes, Eixample",Barcelona,Spain,155,301,"Bar, Pool, Fitness Center"
H074,Mövenpick,Premium,"31 Carrer de la Marina, Port Olimpic",Barcelona,Spain,192,372,"Bar, Fitness Center, Room Service, Concierge, Meeting Rooms, Pool, Restaurant"
H075,Novotel,Midscale,"26 Carrer de Rossello, Eixample",Barcelona,Spain,98,141,"Free WiFi, Meeting Rooms, Restaurant, Parking, Bar, Fitness Center"
H076,Mercure,Midscale,"122 La Rambla, Ciutat Vella",Barcelona,Spain,77,217,"Parking, Fitness Center, Free WiFi, Meeting Rooms, Bar"
H077,Novotel,Midscale,"150 Carrer de la Diputacio, Eixample",Barcelona,Spain,66,122,"Free WiFi, Meeting Rooms, Parking, Bar, Restaurant, Fitness Center"
H078,ibis,Economy,"11 Carrer de Pelai, Ciutat Vella",Barcelona,Spain,66,133,"Laundry, Breakfast Included, Free WiFi, Parking"
H079,ibis Styles,Economy,"28 Carrer de Mallorca, Eixample",Barcelona,Spain,51,97,"Parking, Breakfast Included, Free WiFi"
H080,ibis,Economy,"374 Carrer de Valencia, Eixample",Barcelona,Spain,33,98,"Parking, Laundry, Free WiFi"
H081,Fairmont,Luxury,"199 George Street, The Rocks",Sydney,Australia,452,622,"Spa, Pool, Rooftop Bar, Valet Parking, Room Service, Fine Dining"
H082,Sofitel,Luxury,"12 Darling Drive, Darling Harbour",Sydney,Australia,392,538,"Valet Parking, Fine Dining, Business Center, Concierge"
H083,Pullman,Premium,"36 College Street, Hyde Park",Sydney,Australia,224,328,"Concierge, Fitness Center, Pool, Business Center"
H084,Swissôtel,Premium,"68 Market Street, Sydney CBD",Sydney,Australia,186,264,"Concierge, Fitness Center, Pool, Meeting Rooms, Room Service, Business Center"
H085,Novotel,Midscale,"169 Thomas Street, Haymarket",Sydney,Australia,75,191,"Meeting Rooms, Parking, Free WiFi, Restaurant"
H086,Mercure,Midscale,"818 George Street, Haymarket",Sydney,Australia,83,140,"Fitness Center, Parking, Bar"
H087,Novotel,Midscale,"4 Bridge Street, Sydney CBD",Sydney,Australia,117,206,"Fitness Center, Meeting Rooms, Parking"
H088,ibis,Economy,"70 Murray Street, Pyrmont",Sydney,Australia,65,121,"Parking, Breakfast Included, Free WiFi, Laundry"
H089,ibis Styles,Economy,"37 York Street, Sydney CBD",Sydney,Australia,62,144,"Parking, Laundry, Free WiFi, Breakfast Included"
H090,ibis,Economy,"50 Albion Street, Surry Hills",Sydney,Australia,64,99,"Parking, Breakfast Included, Laundry, Free WiFi"
H091,Sofitel,Luxury,"1 Augsburger Strasse, Charlottenburg",Berlin,Germany,388,422,"Valet Parking, Lounge Access, Room Service, Rooftop Bar"
H092,Fairmont,Luxury,"14 Franzosische Strasse, Mitte",Berlin,Germany,365,677,"Pool, Rooftop Bar, Valet Parking"
H093,Pullman,Premium,"73 Budapester Strasse, Tiergarten",Berlin,Germany,160,244,"Room Service, Concierge, Restaurant"
H094,Swissôtel,Premium,"44 Friedrichstrasse, Mitte",Berlin,Germany,192,304,"Fitness Center, Restaurant, Room Service, Concierge, Business Center, Meeting Rooms"
H095,Novotel,Midscale,"11 Fischerinsel, Mitte",Berlin,Germany,104,210,"Free WiFi, Meeting Rooms, Parking"
H096,Mercure,Midscale,"60 Invalidenstrasse, Mitte",Berlin,Germany,98,153,"Free WiFi, Meeting Rooms, Restaurant, Bar, Fitness Center, Parking"
H097,Novotel,Midscale,"6 Strasse der Pariser Kommune, Friedrichshain",Berlin,Germany,124,207,"Fitness Center, Free WiFi, Parking, Bar"
H098,ibis,Economy,"4 Prenzlauer Allee, Prenzlauer Berg",Berlin,Germany,46,122,"Laundry, Breakfast Included, Parking, Free WiFi"
H099,ibis Styles,Economy,"65 Kantstrasse, Charlottenburg",Berlin,Germany,43,138,"Parking, Laundry, Free WiFi"
H100,ibis,Economy,"29 Tempelhofer Damm, Tempelhof",Berlin,Germany,63,130,"Free WiFi, Parking, Laundry"
